session_id,participant_id,validation_type,timestamp,calibration_accuracy,glasses,total_duration_ms,total_duration_sec,completed_tasks,total_tasks,completion_rate,avg_task_duration_ms,avg_valence,std_valence,min_valence,max_valence,avg_negative_prob,max_negative_prob,total_samples,emotion_distribution,negative_emotions_ratio,modal_shown_count,modal_closed_count,total_clicks,error_corrections,total_interactions,total_fixations,total_gaze_distance,avg_gaze_speed,fixations_per_second
session_1776627386054_lby6kzld0,123,inline,1776627386054,71,False,55873,55.873,1,1,1.0,55873.0,-9.282848543733837e-06,2.6866682274275972e-05,-0.0002915902573996654,2.1127741917987762e-05,1.7438884064246486e-05,0.0004244739594425617,372.0,{'neutral': 372},0.0,7,7,7,0,23,1002,224696.60106849344,4034.340007693432,17.99051996552715
session_1776627990177_hijpy199t,112,modal,1776627990177,81,False,48274,48.274,2,2,1.0,24137.0,1.7231381618684988e-05,3.0418489122478528e-05,-4.3760948044990766e-05,0.0003373958900656504,7.447928584189953e-06,0.00018884614947367595,323.0,{'neutral': 323},0.0,4,2,3,0,14,834,214264.19323753548,4124.113508825797,16.05266197020441
session_1776632016524_u17ut3bp7,1,modal,1776632016524,29,False,63619,63.619,4,4,1.0,15904.75,-0.032773446511793494,0.112564602925857,-0.4405555237636236,0.19998509479343732,0.1329606892289639,0.98316313257601,313.0,"{'neutral': 242, 'surprised': 50, 'sad': 17, 'angry': 4}",0.0670926517571885,2,2,2,0,15,363,156637.07411011372,2110.585112310365,4.891194502459071
session_1776642693955_ami588ned,1,modal,1776642693955,45,False,35910,35.91,4,4,1.0,8977.5,,,,,,,,,,0,0,0,0,9,250,103427.7866309935,1780.1071672402586,4.302777873395064
session_1776666613551_la9akh1k7,103,inline,1776666613552,76,False,107954,107.954,2,2,1.0,53977.0,-0.019924921592203104,0.04523470764541337,-0.2864453339422511,0.1747829812539198,0.05281405845894538,0.7172273183633706,622.0,"{'neutral': 610, 'sad': 8, 'surprised': 4}",0.012861736334405145,5,4,21,0,57,747,175782.83890684415,1363.9370177208402,5.796134358584409
session_1776667325476_szfltkm9i,93,inline,1776667325476,70,False,110446,110.446,2,2,1.0,55223.0,0.06341843766724098,0.20701999021784045,-0.17262060667109155,0.8000000019945741,0.0011586945767399306,0.4570067639103286,619.0,"{'neutral': 571, 'happy': 48}",0.0,3,2,19,0,49,868,143657.4397910771,1240.7686908134935,7.4969122740345995
session_1776668290348_bto5lsd3k,94,modal,1776668290348,39,False,111529,111.529,2,2,1.0,55764.5,-0.003011043381204122,0.02954109363541628,-0.5311502963665589,0.0012318962620497579,0.00508531340028772,0.7291755609221582,625.0,"{'neutral': 622, 'angry': 2, 'sad': 1}",0.0048,9,8,27,3,51,825,198459.26170866852,1615.7493544523115,6.716709545054873
session_1776668810651_owlons7cw,71,modal,1776668810651,46,False,150671,150.671,2,2,1.0,75335.5,-0.13345116129994652,0.15578253899058703,-0.39856296462278973,0.7999699470291223,0.34800566476276334,0.9963370440959103,858.0,"{'neutral': 554, 'sad': 298, 'happy': 6}",0.3473193473193473,9,9,27,3,52,1162,371469.36048724665,2002.4115038312916,6.263779506336552
session_1776669443683_2rcqyot0q,43,modal,1776669443683,56,True,176630,176.63,2,2,1.0,88315.0,0.12708684495238484,0.32481248896602566,-0.3918504030997611,0.8000000441246324,0.08429796734310928,0.9795335371491092,933.0,"{'neutral': 678, 'happy': 175, 'sad': 79, 'surprised': 1}",0.08467309753483387,9,9,39,4,65,1289,290012.2747076306,1531.1349702108157,6.805342906921493
session_1776670086364_9s0n3szxk,62,modal,1776670086364,63,True,156142,156.142,2,2,1.0,78071.0,0.03489001499140777,0.18916172561943873,-0.4692425735519465,0.799999926489591,0.040175566655035036,0.7348437544566835,899.0,"{'neutral': 834, 'happy': 56, 'surprised': 4, 'sad': 4, 'angry': 1}",0.0055617352614015575,9,9,27,2,52,1066,295047.4287760214,1831.6712012963749,6.617788566000955
